        BCA         ,     Tahun Lalu     ,        BRI         ,     Tahun Lalu     ,      MANDIRI       ,     Tahun Lalu     ,       Waktu        
"7,475.00 ",-74.31%,"4,280.00 ",26.63%,"7,175.00 ",20.08%,2021-11-01 10:23:45.024383
"7,375.00 ",-76.02%,"4,250.00 ",21.78%,"7,175.00 ",20.08%,2021-11-04 21:06:40.559352
"7,375.00 ",-76.02%,"4,250.00 ",21.78%,"7,175.00 ",20.08%,2021-11-04 22:09:14.954975
"7,375.00 ",-76.02%,"4,250.00 ",21.78%,"7,175.00 ",20.08%,2021-11-04 22:14:54.081961
"7,450.00 ",-76.35%,"4,240.00 ",19.10%,"7,100.00 ",17.36%,2021-11-07 10:38:30.240137
"7,675.00 ",-76.31%,"4,250.00 ",6.25%,"6,875.00 ",7.84%,2021-11-09 18:10:38.528459
"7,575.00 ",-76.94%,"4,200.00 ",3.96%,"7,225.00 ",13.78%,2021-11-17 22:43:37.817271
"7,475.00 ",-77.35%,"4,280.00 ",4.90%,"7,350.00 ",14.84%,2021-11-22 22:46:07.838473
"7,850.00 ",-77.43%,"4,180.00 ",-8.73%,"7,175.00 ",6.69%,2022-01-15 09:57:09.920787
"7,775.00 ",-77.20%,"4,070.00 ",-12.47%,"7,225.00 ",-2.03%,2022-01-26 08:57:21.967946
